# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
2.202704e+00	8.098648e+00	3.460262e-02
2.207175e+00	8.051023e+00	3.445383e-02
2.211646e+00	8.070779e+00	3.446450e-02
2.216117e+00	8.079142e+00	3.439279e-02
2.220589e+00	8.102491e+00	3.435875e-02
2.225060e+00	8.048655e+00	3.416111e-02
2.229531e+00	7.999970e+00	3.403268e-02
2.234003e+00	8.036431e+00	3.410104e-02
2.238474e+00	8.099307e+00	3.416884e-02
2.242945e+00	8.132537e+00	3.418584e-02
2.247416e+00	8.035963e+00	3.395598e-02
2.251888e+00	7.984542e+00	3.388736e-02
2.256359e+00	8.052572e+00	3.403134e-02
2.260830e+00	8.073980e+00	3.399836e-02
2.265301e+00	8.073057e+00	3.394547e-02
2.269773e+00	8.014002e+00	3.380769e-02
2.274244e+00	8.029931e+00	3.383874e-02
2.278715e+00	7.992429e+00	3.365458e-02
2.283186e+00	8.065694e+00	3.376989e-02
2.287658e+00	8.024161e+00	3.365242e-02
2.292129e+00	8.012946e+00	3.362813e-02
2.296600e+00	8.028692e+00	3.366573e-02
2.301071e+00	8.000610e+00	3.357264e-02
2.305543e+00	8.010282e+00	3.356927e-02
2.310014e+00	7.977693e+00	3.347101e-02
2.314485e+00	7.914392e+00	3.332713e-02
2.318956e+00	7.974428e+00	3.345359e-02
2.323428e+00	7.969360e+00	3.338277e-02
2.327899e+00	7.946373e+00	3.332129e-02
2.332370e+00	7.915299e+00	3.324128e-02
2.336841e+00	7.936742e+00	3.327303e-02
2.341313e+00	7.961176e+00	3.334809e-02
2.345784e+00	7.929779e+00	3.327762e-02
2.350255e+00	7.912004e+00	3.321036e-02
2.354726e+00	7.913126e+00	3.320198e-02
2.359198e+00	7.889289e+00	3.311018e-02
2.363669e+00	7.884416e+00	3.306966e-02
2.368140e+00	7.916337e+00	3.317050e-02
2.372611e+00	7.852244e+00	3.301714e-02
2.377083e+00	7.914903e+00	3.309568e-02
2.381554e+00	7.964347e+00	3.316086e-02
2.386025e+00	7.898496e+00	3.301056e-02
2.390496e+00	7.860175e+00	3.292949e-02
2.394968e+00	7.876046e+00	3.291669e-02
2.399439e+00	7.871672e+00	3.285360e-02
2.403910e+00	7.818551e+00	3.274707e-02
2.408381e+00	7.884857e+00	3.293661e-02
2.412853e+00	7.845026e+00	3.281226e-02
2.417324e+00	7.888078e+00	3.285679e-02
2.421795e+00	7.910595e+00	3.287809e-02
2.426266e+00	7.837007e+00	3.270472e-02
2.430738e+00	7.848200e+00	3.275380e-02
2.435209e+00	7.820652e+00	3.265566e-02
2.439680e+00	7.820790e+00	3.259565e-02
2.444151e+00	7.824063e+00	3.258186e-02
2.448623e+00	7.794533e+00	3.251116e-02
2.453094e+00	7.854978e+00	3.266749e-02
